Date/Time,Heating:DistrictHeating [J](Monthly),Heating:DistrictHeating [J](RunPeriod),Electricity:Facility [J](Monthly),Electricity:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Plant [J](RunPeriod) 
July,604503291.329428,604503291.329428,84303295.4431856,84303295.4431856,84303295.4431856,84303295.4431856 
January,604503291.329428,604503291.329428,84303295.4431856,84303295.4431856,84303295.4431856,84303295.4431856 
January,18917050573.5971,,2613391580.65641,2613391580.65641 
February,17091841819.6032,,2360482391.61791,2360482391.61791 
March,18923110585.9893,,2613391219.29126,2613391219.29126 
April,18312687663.8606,,2529088276.73348,2529088276.73348 
May,18923110585.9893,,2613391219.29126,2613391219.29126 
June,18312687663.8606,,2529088276.73348,2529088276.73348 
July,18923110585.9893,,2613391219.29126,2613391219.29126 
August,18923110585.9893,,2613391219.29126,2613391219.29126 
September,18312687663.8606,,2529088276.73348,2529088276.73348 
October,18923110585.9893,,2613391219.29126,2613391219.29126 
November,18312687663.8606,,2529088276.73348,2529088276.73348 
December,18923110585.9893,222798306564.573,2613391219.29126,2613391219.29126,30770574394.9577,30770574394.9577 
